颐慧佳园,海淀-定慧寺-彰化南路,116.294228,39.942277,104780,——,216,367,暂无数据,2.35元/平米/月,230000m²,1600户,2005年,1200,1.86,37%(一般),北京泽丰房地产开发有限公司,宾至嘉宁物业有限公司北京分公司,
水云居,海淀-定慧寺-美丽园中路16号,116.288601,39.942197,89916,↓1.58%,32,99,暂无数据,2.58元/平米/月,暂无数据,暂无数据,2011年,暂无数据,1.5,30%(一般),北京市海淀区玉渊潭农工商总公司,北京丽锦物业管理中心,
恩济里小区,海淀-定慧寺-恩济西街,116.293362,39.936426,86017,↓3.02%,110,104,暂无数据,0.85元/平米/月,5000m²,1080户,1999年,150元/车位/月,2.9,30%(一般),北京东方畅想建筑设计有限公司,北京北宇物业管理公司,
西钓鱼台嘉园,海淀-定慧寺-西八里庄路,116.306063,39.925659,110681,↑0.71%,318,289,暂无数据,3.98元/平米/月,200000m²,911户,2006年,1
北京印象,海淀-定慧寺-阜成路115号,116.283822,39.932434,82646,↑0.76%,118,12,暂无数据,2.68元/平米/月,130000m²,973户,2003年,842,2.8,60%(高),北京世纪景源房地产开发有限公司,北京宝联物业管理有限公司,
美丽园,海淀-定慧寺-美丽园路,116.285718,39.942411,105764,↑0.36%,274,211,暂无数据,1.83元/平米/月,270000m²,1469户,2000年,大约1500个,0.95,27%(一般),北京东方鸿铭房地产开发有限公司,河北恒辉物业服务集团有限公司北京分公司,海淀实验小学苏州街校区,
定慧东里,海淀-定慧寺-西翠路,116.292668,39.928099,80215,↓2.15%,117,73,公寓,1.98元/平米/月,暂无数据,暂无数据,1995年,500,2.6,35%(一般),北京城建房地产开发有限公司,北京经中太联物业管理有限责任公司,
美丽星苑,海淀-定慧寺-五路居甲16号,116.29106,39.941605,89655,↓1.88%,34,13,暂无数据,1.00元/平米/月,28876m²,64户,2006年,1
云会里金雅园,海淀-定慧寺-云会寺路,116.283519,39.948137,79784,↑0.59%,41,62,暂无数据,2.36元/平米/月,147000m²,1440户,2015年,充足,2.46,32%(一般),北京华泰方圆房地产开发有限公司,北京玉海辉物业管理公司,
观澜国际花园,海淀-定慧寺-蓝靛厂南路,116.298738,39.95125,100000,↓0.48%,182,141,暂无数据,2.66元/平米/月,170000m²,968户,2004年,地下890，地上150,2.5,30%(一般),北京天鸿宝业房地产股份有限公司,北京燕桥物业管理有限公司,
美丽经典园,海淀-定慧寺-彰化南路,116.28947,39.943534,107697,↑4.43%,120,32,暂无数据,2.58元/平米/月,60000m²,482户,2007年,立体车库,1.5,30%(一般),北京裕泽房地产开发有限责任公司,北京银利娜物业管理中心,
瑞新里小区,海淀-定慧寺-西八里庄路,116.286571,39.935847,95261,↓2.37%,24,41,暂无数据,2.35元/平米/月,115000m²,596户,2007年,600,2.2,36%(一般),北京中冠房地产开发有限公司,北京城翔物业管理有限责任公司,
八宝庄,海淀-定慧寺-定慧寺路,116.298123,39.928423,74958,↓0.95%,198,60,暂无数据,0.64元/平米/月,24511m²,1600户,2015年,地上地下都有,2.06,12%(低),北京京汉房地产开发有限公司,北京首华物业管理有限公司,
恩济花园,海淀-定慧寺-万寿路甲1号,116.299145,39.926961,84752,↓5.40%,37,27,普通住宅,1.38元/平米/月,暂无数据,暂无数据,1990年,300,1.79,36%(一般),北京首开天鸿集团有限公司,北京天鸿宝地物业管理经营有限公司,
